Date,Travel Product,Sessions - This Year,Bookings - This Year,Revenue - This Year,Spend - This Year,Day of Month,Day of Week,Week,Month,Quarter,Year,Sessions - Last Year,Bookings - Last Year,Revenue - Last Year,Spend - Last Year,Category,Birst Category,GA Category
2017-01-02,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,2,0,1,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-01,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,1,0,1,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-12-31,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,31,0,1,12,4,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-03,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,3,1,1,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-02,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,2,1,1,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-01,CheapFlights Comparestrip Panel Flight,177.0,0.0,0.0,188.35,1,1,1,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-04,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,4,2,1,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-03,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,3,2,1,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-02,CheapFlights Comparestrip Panel Flight,337.0,0.0,0.0,245.66,2,2,1,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-05,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,5,3,1,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-04,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,4,3,1,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-03,CheapFlights Comparestrip Panel Flight,426.0,0.0,0.0,293.38,3,3,1,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-06,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,6,4,1,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-05,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,5,4,1,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-04,CheapFlights Comparestrip Panel Flight,384.0,0.0,0.0,261.81,4,4,1,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-07,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,7,5,1,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-06,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,6,5,1,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-05,CheapFlights Comparestrip Panel Flight,340.0,0.0,0.0,232.06,5,5,1,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-01,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,1,6,1,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-12-31,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,31,6,1,12,4,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-12-30,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,30,6,1,12,4,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-09,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,9,0,2,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-08,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,8,0,2,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-07,CheapFlights Comparestrip Panel Flight,465.0,0.0,0.0,313.92,7,0,2,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-10,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,10,1,2,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-09,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,9,1,2,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-08,CheapFlights Comparestrip Panel Flight,490.0,0.0,0.0,335.48,8,1,2,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-11,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,11,2,2,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-10,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,10,2,2,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-09,CheapFlights Comparestrip Panel Flight,440.0,1.0,2338.51,298.62,9,2,2,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-12,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,12,3,2,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-11,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,11,3,2,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-10,CheapFlights Comparestrip Panel Flight,418.0,1.0,4840.36,276.79,10,3,2,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-13,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,13,4,2,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-12,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,12,4,2,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-11,CheapFlights Comparestrip Panel Flight,277.0,0.0,0.0,212.02,11,4,2,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-14,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,14,5,2,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-13,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,13,5,2,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-12,CheapFlights Comparestrip Panel Flight,310.0,0.0,0.0,203.26,12,5,2,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-08,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,8,6,2,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-07,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,7,6,2,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-06,CheapFlights Comparestrip Panel Flight,402.0,2.0,5747.2,266.73,6,6,2,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-16,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,16,0,3,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-15,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,15,0,3,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-14,CheapFlights Comparestrip Panel Flight,397.0,1.0,2846.02,268.21,14,0,3,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-17,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,17,1,3,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-16,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,16,1,3,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-15,CheapFlights Comparestrip Panel Flight,365.0,1.0,3543.58,242.71,15,1,3,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-18,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,18,2,3,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-17,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,17,2,3,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-16,CheapFlights Comparestrip Panel Flight,379.0,0.0,0.0,260.4,16,2,3,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-19,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,19,3,3,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-18,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,18,3,3,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-17,CheapFlights Comparestrip Panel Flight,398.0,0.0,0.0,267.82,17,3,3,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-20,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,20,4,3,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-19,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,19,4,3,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-18,CheapFlights Comparestrip Panel Flight,420.0,0.0,0.0,279.94,18,4,3,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-21,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,21,5,3,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-20,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,20,5,3,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-19,CheapFlights Comparestrip Panel Flight,355.0,0.0,0.0,216.98,19,5,3,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-15,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,15,6,3,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-14,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,14,6,3,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-13,CheapFlights Comparestrip Panel Flight,376.0,0.0,0.0,238.73,13,6,3,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-23,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,23,0,4,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-22,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,22,0,4,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-21,CheapFlights Comparestrip Panel Flight,393.0,1.0,5599.4,267.47,21,0,4,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-24,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,24,1,4,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-23,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,23,1,4,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-22,CheapFlights Comparestrip Panel Flight,419.0,1.0,1989.24,272.15,22,1,4,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-25,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,25,2,4,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-24,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,24,2,4,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
