,Date,Travel Product,Sessions - This Year,Bookings - This Year,Revenue - This Year,Spend - This Year,Day of Month,Day of Week,Week,Month,Quarter,Year,Sessions - Last Year,Bookings - Last Year,Revenue - Last Year,Spend - Last Year,Category,Birst Category,GA Category
0,2017-01-02,Targaryen Comparestrip Panel Flight,2601,102,0.0,2743,2,0,1,1,1,2017,4416,103,0.0,2220,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
1,2018-01-01,Targaryen Comparestrip Panel Flight,4677,78,0.0,1851,1,0,1,1,1,2018,3188,59,0.0,3353,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2,2018-12-31,Targaryen Comparestrip Panel Flight,2119,85,0.0,2772,31,0,1,12,4,2019,3345,102,0.0,3040,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
3,2017-01-03,Targaryen Comparestrip Panel Flight,3374,98,0.0,2402,3,1,1,1,1,2017,2781,91,0.0,1841,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
4,2018-01-02,Targaryen Comparestrip Panel Flight,3017,98,0.0,3986,2,1,1,1,1,2018,3726,89,0.0,3583,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
5,2019-01-01,Targaryen Comparestrip Panel Flight,3348,116,0.0,3030,1,1,1,1,1,2019,3809,86,0.0,4060,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
6,2017-01-04,Targaryen Comparestrip Panel Flight,3653,128,0.0,2050,4,2,1,1,1,2017,2797,66,0.0,2948,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
7,2018-01-03,Targaryen Comparestrip Panel Flight,4011,85,0.0,2723,3,2,1,1,1,2018,3880,98,0.0,4059,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
8,2019-01-02,Targaryen Comparestrip Panel Flight,4183,103,0.0,2397,2,2,1,1,1,2019,2698,85,0.0,3563,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
9,2017-01-05,Targaryen Comparestrip Panel Flight,2973,75,0.0,853,5,3,1,1,1,2017,3375,37,0.0,3341,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
10,2018-01-04,Targaryen Comparestrip Panel Flight,3493,88,0.0,2682,4,3,1,1,1,2018,3791,79,0.0,3533,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
11,2019-01-03,Targaryen Comparestrip Panel Flight,3436,35,0.0,3608,3,3,1,1,1,2019,3073,97,0.0,2204,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
12,2017-01-06,Targaryen Comparestrip Panel Flight,3863,128,0.0,3917,6,4,1,1,1,2017,3104,37,0.0,1172,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
13,2018-01-05,Targaryen Comparestrip Panel Flight,3315,63,0.0,5150,5,4,1,1,1,2018,3251,93,0.0,1266,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
14,2019-01-04,Targaryen Comparestrip Panel Flight,2981,86,0.0,3189,4,4,1,1,1,2019,2754,82,0.0,2263,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
15,2017-01-07,Targaryen Comparestrip Panel Flight,4573,79,0.0,2464,7,5,1,1,1,2017,4393,115,0.0,4949,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
16,2018-01-06,Targaryen Comparestrip Panel Flight,2980,81,0.0,5054,6,5,1,1,1,2018,2866,82,0.0,2577,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
17,2019-01-05,Targaryen Comparestrip Panel Flight,3757,76,0.0,2744,5,5,1,1,1,2019,2948,77,0.0,4207,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
18,2017-01-01,Targaryen Comparestrip Panel Flight,3632,74,0.0,2956,1,6,1,1,1,2017,2637,72,0.0,3969,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
19,2017-12-31,Targaryen Comparestrip Panel Flight,3474,81,0.0,4267,31,6,1,12,4,2018,3249,71,0.0,3501,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
20,2018-12-30,Targaryen Comparestrip Panel Flight,2639,90,0.0,3990,30,6,1,12,4,2019,3036,96,0.0,1999,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
21,2017-01-09,Targaryen Comparestrip Panel Flight,3302,141,0.0,5379,9,0,2,1,1,2017,3931,48,0.0,4778,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
22,2018-01-08,Targaryen Comparestrip Panel Flight,2184,63,0.0,4581,8,0,2,1,1,2018,3681,84,0.0,5122,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
23,2019-01-07,Targaryen Comparestrip Panel Flight,4626,115,0.0,5264,7,0,2,1,1,2019,2301,66,0.0,1198,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
24,2017-01-10,Targaryen Comparestrip Panel Flight,2264,70,0.0,1567,10,1,2,1,1,2017,3414,96,0.0,1876,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
25,2018-01-09,Targaryen Comparestrip Panel Flight,4093,117,0.0,1564,9,1,2,1,1,2018,1226,124,0.0,4038,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
26,2019-01-08,Targaryen Comparestrip Panel Flight,3630,96,0.0,3433,8,1,2,1,1,2019,3244,93,0.0,5343,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
27,2017-01-11,Targaryen Comparestrip Panel Flight,2701,73,0.0,3011,11,2,2,1,1,2017,3004,91,0.0,2818,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
28,2018-01-10,Targaryen Comparestrip Panel Flight,3159,69,0.0,4726,10,2,2,1,1,2018,2950,87,0.0,3528,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
29,2019-01-09,Targaryen Comparestrip Panel Flight,3547,44,2338.51,3536,9,2,2,1,1,2019,2808,105,0.0,3760,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
30,2017-01-12,Targaryen Comparestrip Panel Flight,4082,67,0.0,3129,12,3,2,1,1,2017,4611,80,0.0,2853,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
31,2018-01-11,Targaryen Comparestrip Panel Flight,2861,83,0.0,2893,11,3,2,1,1,2018,4105,71,0.0,3914,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
32,2019-01-10,Targaryen Comparestrip Panel Flight,4380,89,4840.36,4000,10,3,2,1,1,2019,2619,95,0.0,2831,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
33,2017-01-13,Targaryen Comparestrip Panel Flight,3662,68,0.0,2919,13,4,2,1,1,2017,3704,78,0.0,3375,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
34,2018-01-12,Targaryen Comparestrip Panel Flight,3243,110,0.0,1696,12,4,2,1,1,2018,3128,76,0.0,2283,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
35,2019-01-11,Targaryen Comparestrip Panel Flight,3126,105,0.0,4577,11,4,2,1,1,2019,2670,70,0.0,3214,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
36,2017-01-14,Targaryen Comparestrip Panel Flight,2952,100,0.0,4607,14,5,2,1,1,2017,3024,82,0.0,2467,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
37,2018-01-13,Targaryen Comparestrip Panel Flight,3075,79,0.0,1985,13,5,2,1,1,2018,3061,79,0.0,3824,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
38,2019-01-12,Targaryen Comparestrip Panel Flight,4076,78,0.0,4131,12,5,2,1,1,2019,3016,80,0.0,1424,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
39,2017-01-08,Targaryen Comparestrip Panel Flight,2229,81,0.0,1673,8,6,2,1,1,2017,2553,101,0.0,2184,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
40,2018-01-07,Targaryen Comparestrip Panel Flight,3658,82,0.0,3644,7,6,2,1,1,2018,3902,76,0.0,3990,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
41,2019-01-06,Targaryen Comparestrip Panel Flight,3582,91,5747.2,2941,6,6,2,1,1,2019,3205,82,0.0,1608,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
42,2017-01-16,Targaryen Comparestrip Panel Flight,4010,139,0.0,3573,16,0,3,1,1,2017,2895,69,0.0,1683,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
43,2018-01-15,Targaryen Comparestrip Panel Flight,3336,70,0.0,1422,15,0,3,1,1,2018,2776,72,0.0,5193,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
44,2019-01-14,Targaryen Comparestrip Panel Flight,2396,59,2846.02,4012,14,0,3,1,1,2019,3192,84,0.0,2255,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
45,2017-01-17,Targaryen Comparestrip Panel Flight,3570,81,0.0,4230,17,1,3,1,1,2017,1867,64,0.0,3276,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
46,2018-01-16,Targaryen Comparestrip Panel Flight,4115,69,0.0,2521,16,1,3,1,1,2018,3971,89,0.0,4255,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
47,2019-01-15,Targaryen Comparestrip Panel Flight,3100,74,3543.58,2550,15,1,3,1,1,2019,2066,74,0.0,2473,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
48,2017-01-18,Targaryen Comparestrip Panel Flight,3557,107,0.0,3148,18,2,3,1,1,2017,3686,96,0.0,3199,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
49,2018-01-17,Targaryen Comparestrip Panel Flight,2311,74,0.0,4594,17,2,3,1,1,2018,2428,54,0.0,3576,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
50,2019-01-16,Targaryen Comparestrip Panel Flight,3798,77,0.0,3158,16,2,3,1,1,2019,4105,99,0.0,3717,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
51,2017-01-19,Targaryen Comparestrip Panel Flight,2603,56,0.0,4224,19,3,3,1,1,2017,3525,79,0.0,3160,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
52,2018-01-18,Targaryen Comparestrip Panel Flight,3058,136,0.0,931,18,3,3,1,1,2018,3862,55,0.0,2008,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
